system:index,ALAND,AWATER,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,sum,.geo
0000000000000000074d,2282893856,22521211,46220,H1,107,00161580,,A,01107,+33.2967933,-088.0968631,06,,G4020,Pickens,Pickens County,01,19365.32549019607,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000755,1667804584,32525874,46220,H1,065,00161558,,A,01065,+32.7527958,-087.6230608,06,,G4020,Hale,Hale County,01,15003.113725490191,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000756,3423128150,76596461,46220,H1,125,00161588,,A,01125,+33.2902197,-087.5227834,06,,G4020,Tuscaloosa,Tuscaloosa County,01,13277.211764705882,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000768,1386379575,34562865,23460,H1,055,00161553,,A,01055,+34.0476407,-086.0342629,06,,G4020,Etowah,Etowah County,01,10698.929411764708,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000769,1569245419,16568579,11500,H1,015,00161533,,A,01015,+33.7717061,-085.8225133,06,,G4020,Calhoun,Calhoun County,01,6623.0392156862745,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000776,1601876534,99850740,33860,H1,051,00161551,,A,01051,+32.5972290,-086.1427347,06,,G4020,Elmore,Elmore County,01,13076.654901960785,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000777,2031491982,40270068,33860,H1,101,00161577,,A,01101,+32.2028812,-086.2044615,06,,G4020,Montgomery,Montgomery County,01,5648.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000077f,2291818680,50864677,21640,H1,005,00161528,,A,01005,+31.8702531,-085.4051035,06,,G4020,Barbour,Barbour County,01,10756.035294117646,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000786,1740741209,2336975,45980,H1,109,00161581,,A,01109,+31.7986508,-085.9416035,06,,G4020,Pike,Pike County,01,7119.572549019607,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000078b,1854202171,23721045,33860,H1,085,00161568,,A,01085,+32.1478880,-086.6505859,06,,G4020,Lowndes,Lowndes County,01,10807.27843137255,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000078c,2534807219,39134809,42820,H1,047,00161549,,A,01047,+32.3335397,-087.1143556,06,,G4020,Dallas,Dallas County,01,20881.53725490196,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000078d,1539609015,25749942,33860,H1,001,00161526,,A,01001,+32.5322367,-086.6464395,06,,G4020,Autauga,Autauga County,01,10605.360784313725,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a83,1729334080,134420924,22520,H1,077,00161564,,A,01077,+34.9041221,-087.6509966,06,,G4020,Lauderdale,Lauderdale County,01,87950.52549019607,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a85,1534878514,80030048,22520,H1,033,00161542,,A,01033,+34.7031120,-087.8014569,06,,G4020,Colbert,Colbert County,01,85841.94901960784,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000075d,2049182057,36258716,13820,H1,127,00161589,142,A,01127,+33.7915581,-087.3010936,06,,G4020,Walker,Walker County,01,1823.1490196078432,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000075f,1903376541,52118974,18980,H1,043,00161547,142,A,01043,+34.1319229,-086.8692666,06,,G4020,Cullman,Cullman County,01,16978.498039215687,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000760,1670041875,15077458,13820,H1,009,00161530,142,A,01009,+33.9773575,-086.5664400,06,,G4020,Blount,Blount County,01,12082.654901960785,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000761,2878224117,32446239,13820,H1,073,00161562,142,A,01073,+33.5534439,-086.8965359,06,,G4020,Jefferson,Jefferson County,01,872.3843137254902,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000762,1612481559,9287974,13820,H1,007,00161529,142,A,01007,+33.0158929,-087.1271475,06,,G4020,Bibb,Bibb County,01,741.4078431372549,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000763,2034096244,62561221,13820,H1,117,00161584,142,A,01117,+33.2630428,-086.6780894,06,,G4020,Shelby,Shelby County,01,6593.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000764,1794482896,20586310,13820,H1,021,00161536,142,A,01021,+32.8540514,-086.7266071,06,,G4020,Chilton,Chilton County,01,3250.8274509803923,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000765,1908244133,60939223,45180,H1,121,00161586,142,A,01121,+33.3693135,-086.1759302,06,,G4020,Talladega,Talladega County,01,22483.662745098038,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000766,1685891528,39946563,45180,H1,037,00161544,142,A,01037,+32.9314453,-086.2434818,06,,G4020,Coosa,Coosa County,01,348.65098039215684,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000767,1636625212,56293578,13820,H1,115,00164997,142,A,01115,+33.7129627,-086.3156631,06,,G4020,St. Clair,St. Clair County,01,4105.882352941177,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000774,1855779800,128809185,10760,H1,123,00161587,142,A,01123,+32.8633694,-085.7995532,06,,G4020,Tallapoosa,Tallapoosa County,01,2281.8470588235296,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a6c,2791663803,126657151,42460,H1,071,00161561,174,A,01071,+34.7641140,-085.9800556,06,,G4020,Jackson,Jackson County,01,94280.23529411764,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000773,1545009121,17048126,46740,H1,017,00161534,194,A,01017,+32.9155039,-085.3940321,06,,G4020,Chambers,Chambers County,01,1021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000077a,1573552337,21488937,12220,H1,081,00161566,194,A,01081,+32.6040644,-085.3530477,06,,G4020,Lee,Lee County,01,5377.878431372549,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000077c,1660580843,15637637,17980,H1,113,00161583,194,A,01113,+32.2898113,-085.1869798,06,,G4020,Russell,Russell County,01,10245.33725490196,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000782,1454926615,16986823,20020,H1,067,00161559,222,A,01067,+31.5169779,-085.2399712,06,,G4020,Henry,Henry County,01,45786.57647058825,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000785,1453310172,4016457,37120,H1,045,00161548,222,A,01045,+31.4306536,-085.6094760,06,,G4020,Dale,Dale County,01,33073.23529411764,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000787,1758565487,3907876,21460,H1,031,00161541,222,A,01031,+31.4022580,-085.9896022,06,,G4020,Coffee,Coffee County,01,34708.72156862745,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000796,1487710770,11765077,20020,H1,061,00161556,222,A,01061,+31.0923933,-085.8210110,06,,G4020,Geneva,Geneva County,01,61986.40784313726,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000798,1501846955,4691549,20020,H1,069,00161560,222,A,01069,+31.1581928,-085.2963976,06,,G4020,Houston,Houston County,01,59018.639215686286,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a6a,2012664315,4121538,22840,H1,049,00161550,290,A,01049,+34.4609290,-085.8039920,06,,G4020,DeKalb,DeKalb County,01,51974.17647058824,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a7c,2076157081,28765532,26620,H1,089,00161570,290,A,01089,+34.7642377,-086.5510802,06,,G4020,Madison,Madison County,01,127193.77647058826,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a7d,1465524098,148503229,10700,H1,095,00161574,290,A,01095,+34.3095637,-086.3216681,06,,G4020,Marshall,Marshall County,01,32113.423529411764,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a7e,1500534814,51006061,19460,H1,103,00161578,290,A,01103,+34.4544844,-086.8464021,06,,G4020,Morgan,Morgan County,01,25928.08235294117,"{""type"":""MultiPoint"",""coordinates"":[]}"
