"commodity","short_desc"
"ALMONDS","ALMONDS - ACRES BEARING & NON-BEARING"
"APPLES","APPLES - ACRES BEARING & NON-BEARING"
"APRICOTS","APRICOTS - ACRES BEARING & NON-BEARING"
"ASPARAGUS","ASPARAGUS - ACRES HARVESTED"
"AVOCADOS","AVOCADOS - ACRES BEARING & NON-BEARING"
"BARLEY","BARLEY - ACRES HARVESTED"
"BEANS","BEANS, SNAP - ACRES HARVESTED"
"BEANS","BEANS, GREEN, LIMA - ACRES HARVESTED"
"BEANS","BEANS, DRY EDIBLE, (EXCL LIMA) - ACRES HARVESTED"
"BEANS","BEANS, DRY EDIBLE, LIMA - ACRES HARVESTED"
"BERRIES, OTHER","BERRIES, OTHER - ACRES HARVESTED"
"BLUEBERRIES","BLUEBERRIES, TAME - ACRES HARVESTED"
"BLUEBERRIES","BLUEBERRIES, WILD - ACRES HARVESTED"
"BROCCOLI","BROCCOLI - ACRES HARVESTED"
"BUCKWHEAT","BUCKWHEAT - ACRES HARVESTED"
"CABBAGE","CABBAGE, HEAD - ACRES HARVESTED"
"CABBAGE","CABBAGE, CHINESE - ACRES HARVESTED"
"CABBAGE","CABBAGE, MUSTARD - ACRES HARVESTED"
"CAMELINA","CAMELINA - ACRES HARVESTED"
"CANOLA","CANOLA - ACRES HARVESTED"
"CARROTS","CARROTS - ACRES HARVESTED"
"CAULIFLOWER","CAULIFLOWER - ACRES HARVESTED"
"CELERY","CELERY - ACRES HARVESTED"
"CHERRIES","CHERRIES, TART - ACRES BEARING & NON-BEARING"
"CHERRIES","CHERRIES, SWEET - ACRES BEARING & NON-BEARING"
"CITRUS, OTHER","CITRUS, OTHER - ACRES BEARING & NON-BEARING"
"CORN","CORN, GRAIN - ACRES HARVESTED"
"CORN","CORN, SILAGE - ACRES HARVESTED"
"COTTON","COTTON - ACRES HARVESTED"
"CRANBERRIES","CRANBERRIES - ACRES HARVESTED"
"CUCUMBERS","CUCUMBERS - ACRES HARVESTED"
"CUT CHRISTMAS TREES","CUT CHRISTMAS TREES - ACRES IN PRODUCTION"
"EGGPLANT","EGGPLANT - ACRES HARVESTED"
"EMMER & SPELT","EMMER & SPELT - ACRES HARVESTED"
"FLAXSEED","FLAXSEED - ACRES HARVESTED"
"GARLIC","GARLIC - ACRES HARVESTED"
"GRAPES","GRAPES - ACRES BEARING & NON-BEARING"
"GREENS","GREENS, TURNIP - ACRES HARVESTED"
"GREENS","GREENS, COLLARD - ACRES HARVESTED"
"GREENS","GREENS, MUSTARD - ACRES HARVESTED"
"GREENS","GREENS, KALE - ACRES HARVESTED"
"HAY","HAY - ACRES HARVESTED"
"HERBS","HERBS, FRESH CUT - ACRES HARVESTED"
"HERBS","HERBS, DRY - ACRES HARVESTED"
"HOPS","HOPS - ACRES HARVESTED"
"LENTILS","LENTILS - ACRES HARVESTED"
"LETTUCE","LETTUCE - ACRES HARVESTED"
"MELONS","MELONS, CANTALOUP - ACRES HARVESTED"
"MELONS","MELONS, HONEYDEW - ACRES HARVESTED"
"MELONS","MELONS, WATERMELON - ACRES HARVESTED"
"MILLET","MILLET, PROSO - ACRES HARVESTED"
"MINT","MINT, OIL - ACRES HARVESTED"
"MINT","MINT, TEA LEAVES - ACRES HARVESTED"
"MUSTARD","MUSTARD, SEED - ACRES HARVESTED"
"NECTARINES","NECTARINES - ACRES BEARING & NON-BEARING"
"OATS","OATS - ACRES HARVESTED"
"OLIVES","OLIVES - ACRES BEARING & NON-BEARING"
"ONIONS","ONIONS, DRY - ACRES HARVESTED"
"ONIONS","ONIONS, GREEN - ACRES HARVESTED"
"ORANGES","ORANGES - ACRES BEARING & NON-BEARING"
"PEACHES","PEACHES - ACRES BEARING & NON-BEARING"
"PEANUTS","PEANUTS - ACRES HARVESTED"
"PEARS","PEARS - ACRES BEARING & NON-BEARING"
"PEAS","PEAS, GREEN, (EXCL SOUTHERN) - ACRES HARVESTED"
"PEAS","PEAS, GREEN, SOUTHERN (COWPEAS) - ACRES HARVESTED"
"PEAS","PEAS, DRY, SOUTHERN (COWPEAS) - ACRES HARVESTED"
