"GEOID","STATEFP","COUNTYFP","NAME","LSAD"
"19107","19","107","Keokuk","06"
"19189","19","189","Winnebago","06"
"20093","20","093","Kearny","06"
"20123","20","123","Mitchell","06"
"20187","20","187","Stanton","06"
"21005","21","005","Anderson","06"
"21029","21","029","Bullitt","06"
"21049","21","049","Clark","06"
"21059","21","059","Daviess","06"
"21063","21","063","Elliott","06"
"21093","21","093","Hardin","06"
"21097","21","097","Harrison","06"
"21107","21","107","Hopkins","06"
"21131","21","131","Leslie","06"
"21147","21","147","McCreary","06"
"21151","21","151","Madison","06"
"21155","21","155","Marion","06"
"21175","21","175","Morgan","06"
"01001","01","001","Autauga","06"
"01003","01","003","Baldwin","06"
"01025","01","025","Clarke","06"
"01049","01","049","DeKalb","06"
"01057","01","057","Fayette","06"
"01073","01","073","Jefferson","06"
"01097","01","097","Mobile","06"
"01101","01","101","Montgomery","06"
"01131","01","131","Wilcox","06"
"04001","04","001","Apache","06"
"04007","04","007","Gila","06"
"04012","04","012","La Paz","06"
"04013","04","013","Maricopa","06"
"05015","05","015","Carroll","06"
"05019","05","019","Clark","06"
"05029","05","029","Conway","06"
"05069","05","069","Jefferson","06"
"05073","05","073","Lafayette","06"
"05093","05","093","Mississippi","06"
"05107","05","107","Phillips","06"
"05117","05","117","Prairie","06"
"05131","05","131","Sebastian","06"
"05145","05","145","White","06"
"06007","06","007","Butte","06"
"06009","06","009","Calaveras","06"
"06011","06","011","Colusa","06"
"06017","06","017","El Dorado","06"
"06019","06","019","Fresno","06"
"06023","06","023","Humboldt","06"
"06033","06","033","Lake","06"
"06037","06","037","Los Angeles","06"
"06045","06","045","Mendocino","06"
"06053","06","053","Monterey","06"
"06083","06","083","Santa Barbara","06"
"06097","06","097","Sonoma","06"
"06113","06","113","Yolo","06"
"08023","08","023","Costilla","06"
"08037","08","037","Eagle","06"
"08043","08","043","Fremont","06"
"08053","08","053","Hinsdale","06"
"08057","08","057","Jackson","06"
"08067","08","067","La Plata","06"
"08091","08","091","Ouray","06"
"08111","08","111","San Juan","06"
"09009","09","009","New Haven","06"
"11001","11","001","District of Columbia","00"
"12009","12","009","Brevard","06"
"12023","12","023","Columbia","06"
"12031","12","031","Duval","06"
"12041","12","041","Gilchrist","06"
"12045","12","045","Gulf","06"
"12071","12","071","Lee","06"
"12093","12","093","Okeechobee","06"
"12097","12","097","Osceola","06"
"12103","12","103","Pinellas","06"
"12105","12","105","Polk","06"
"12107","12","107","Putnam","06"
"12121","12","121","Suwannee","06"
"12123","12","123","Taylor","06"
"12125","12","125","Union","06"
"13001","13","001","Appling","06"
"13007","13","007","Baker","06"
"13025","13","025","Brantley","06"
"13029","13","029","Bryan","06"
"13051","13","051","Chatham","06"
"13139","13","139","Hall","06"
"13143","13","143","Haralson","06"
"13153","13","153","Houston","06"
"13205","13","205","Mitchell","06"
"13209","13","209","Montgomery","06"
"13215","13","215","Muscogee","06"
"13219","13","219","Oconee","06"
"13229","13","229","Pierce","06"
"13263","13","263","Talbot","06"
"13267","13","267","Tattnall","06"
"13291","13","291","Union","06"
"16003","16","003","Adams","06"
"16005","16","005","Bannock","06"
"16013","16","013","Blaine","06"
"16023","16","023","Butte","06"
"16025","16","025","Camas","06"
"16031","16","031","Cassia","06"
"16035","16","035","Clearwater","06"
"16041","16","041","Franklin","06"
"16043","16","043","Fremont","06"
"16049","16","049","Idaho","06"
"16061","16","061","Lewis","06"
"17003","17","003","Alexander","06"
"17017","17","017","Cass","06"
"17027","17","027","Clinton","06"
"17043","17","043","DuPage","06"
"17109","17","109","McDonough","06"
"17125","17","125","Mason","06"
"17153","17","153","Pulaski","06"
"18003","18","003","Allen","06"
"18051","18","051","Gibson","06"
"18061","18","061","Harrison","06"
"18071","18","071","Jackson","06"
"18103","18","103","Miami","06"
