"GEOID","STATEFP","COUNTYFP","NAME","LSAD","GEOID_padded","reason"
11001,11,1,"District of Columbia",0,"11001","Not in Census"
51685,51,685,"Manassas Park",25,"51685","Not in Census"
51610,51,610,"Falls Church",25,"51610","Not in Census"
51830,51,830,"Williamsburg",25,"51830","Not in Census"
51690,51,690,"Martinsville",25,"51690","Not in Census"
29510,29,510,"St. Louis",25,"29510","Not in Census"
51520,51,520,"Bristol",25,"51520","Not in Census"
51580,51,580,"Covington",25,"51580","Not in Census"
51595,51,595,"Emporia",25,"51595","Not in Census"
51640,51,640,"Galax",25,"51640","Not in Census"
51680,51,680,"Lynchburg",25,"51680","Not in Census"
51730,51,730,"Petersburg",25,"51730","Not in Census"
51750,51,750,"Radford",25,"51750","Not in Census"
51770,51,770,"Roanoke",25,"51770","Not in Census"
51678,51,678,"Lexington",25,"51678","Not in Census"
51670,51,670,"Hopewell",25,"51670","Not in Census"
51720,51,720,"Norton",25,"51720","Not in Census"
51735,51,735,"Poquoson",25,"51735","Not in Census"
51740,51,740,"Portsmouth",25,"51740","Not in Census"
51700,51,700,"Newport News",25,"51700","Not in Census"
51775,51,775,"Salem",25,"51775","Not in Census"
51570,51,570,"Colonial Heights",25,"51570","Not in Census"
51760,51,760,"Richmond",25,"51760","Not in Census"
51600,51,600,"Fairfax",25,"51600","Not in Census"
51630,51,630,"Fredericksburg",25,"51630","Not in Census"
51650,51,650,"Hampton",25,"51650","Not in Census"
24510,24,510,"Baltimore",25,"24510","Not in Census"
51530,51,530,"Buena Vista",25,"51530","Not in Census"
51510,51,510,"Alexandria",25,"51510","Not in Census"
51683,51,683,"Manassas",25,"51683","Not in Census"
51620,51,620,"Franklin",25,"51620","Not in Census"
51710,51,710,"Norfolk",25,"51710","Not in Census"
51820,51,820,"Waynesboro",25,"51820","Not in Census"
51540,51,540,"Charlottesville",25,"51540","Not in Census"
51790,51,790,"Staunton",25,"51790","Not in Census"
51590,51,590,"Danville",25,"51590","Not in Census"
51660,51,660,"Harrisonburg",25,"51660","Not in Census"
51840,51,840,"Winchester",25,"51840","Not in Census"
8111,8,111,"San Juan",6,"08111","No matching statcat"
26083,26,83,"Keweenaw",6,"26083","No matching statcat"
48301,48,301,"Loving",6,"48301","No matching statcat"
36061,36,61,"New York",6,"36061","No matching statcat"
34017,34,17,"Hudson",6,"34017","No matching statcat"
36005,36,5,"Bronx",6,"36005","No matching statcat"
51013,51,13,"Arlington",6,"51013","No matching commodity"
36085,36,85,"Richmond",6,"36085","No matching commodity"
