state,county,year,NonCrop,GM,Tolerant,Vulnerable,Unclassified,total
Kentucky,Trimble,2009,350,15558,3198,16649,49688,85443
Kentucky,Trimble,2010,0,14373,1443,19165,50462,85443
Kentucky,Trimble,2011,0,10681,2490,586,71686,85443
Minnesota,Waseca,2009,10,404363,518133,8109,80979,1011594
Kentucky,Trimble,2012,0,10841,3880,391,70331,85443
Kentucky,Trimble,2013,2,11981,3708,8098,61654,85443
Minnesota,Waseca,2010,6,385243,524752,9315,92278,1011594
Nebraska,York,2009,244,450509,926459,9562,94257,1481031
Ohio,Logan,2009,303,409212,348147,19204,119490,896356
Kentucky,Trimble,2014,0,16967,3824,4312,60340,85443
Florida,Gilchrist,2009,7081,376,27541,90803,220412,346213
Minnesota,Waseca,2011,110,373156,562708,20234,55386,1011594
Indiana,Owen,2009,3533,101936,79153,10776,71305,266703
Kentucky,Trimble,2015,8,20827,4806,16265,43537,85443
Missouri,Buchanan,2009,2810,250486,213204,29771,132559,628830
Kentucky,Trimble,2016,21,18691,7025,14274,45432,85443
North Carolina,Person,2009,4766,44129,20189,23226,218827,311137
Ohio,Logan,2010,809,398933,343137,29900,123577,896356
Minnesota,Waseca,2012,5,346816,584406,18466,61901,1011594
Nebraska,York,2010,345,457555,901991,8066,113074,1481031
Virginia,Greensville,2009,17546,129959,11341,11799,27212,197857
Indiana,Owen,2010,69,82234,87968,4652,91780,266703
Florida,Gilchrist,2010,14765,292,19890,96012,215254,346213
Kentucky,Trimble,2017,0,27200,4054,14937,39252,85443
Missouri,Buchanan,2010,8,227298,182117,9,219398,628830
Ohio,Logan,2011,762,409538,311149,29340,145567,896356
Minnesota,Waseca,2013,50,373181,538062,31917,68384,1011594
Kentucky,Trimble,2018,5,24216,5587,18903,36732,85443
Nebraska,York,2011,350,446783,937154,9793,86951,1481031
North Carolina,Person,2010,32337,62208,20137,36926,159529,311137
Indiana,Owen,2011,130,100269,80444,731,85129,266703
Florida,Gilchrist,2011,16903,932,24331,46501,257546,346213
Missouri,Buchanan,2011,194,221398,195203,1112,210923,628830
Virginia,Greensville,2010,4069,108986,16869,8556,59377,197857
Ohio,Logan,2012,235,375740,363229,29722,127430,896356
Minnesota,Waseca,2014,42,388671,552610,18928,51343,1011594
North Carolina,Person,2011,37491,65071,21168,44374,143033,311137
Indiana,Owen,2012,25,85215,102555,7735,71173,266703
Nebraska,York,2012,158,430899,968710,12459,68805,1481031
Florida,Gilchrist,2012,19220,243,13413,133861,179476,346213
Missouri,Buchanan,2012,127,247533,191970,19216,169984,628830
Virginia,Greensville,2011,4690,91340,5221,10722,85884,197857
Ohio,Logan,2013,322,386629,353288,27312,128805,896356
Indiana,Owen,2013,72,102163,81304,8795,74369,266703
North Carolina,Person,2012,50173,54517,20542,93800,92105,311137
Minnesota,Waseca,2015,435,379975,559776,18063,53345,1011594
Florida,Gilchrist,2013,17571,2971,30210,129693,165768,346213
Nebraska,York,2013,525,381355,1009957,12289,76905,1481031
Missouri,Buchanan,2013,129,229109,218364,17075,164153,628830
Ohio,Logan,2014,470,396982,349910,34498,114496,896356
Indiana,Owen,2014,15,96115,90507,8149,71917,266703
North Carolina,Person,2013,84652,60644,27404,77094,61343,311137
Minnesota,Waseca,2016,365,372399,568850,15414,54566,1011594
Virginia,Greensville,2012,5159,95854,6565,11287,78992,197857
Florida,Gilchrist,2014,21782,2198,33923,121995,166315,346213
Nebraska,York,2014,217,481580,913183,15483,70568,1481031
Ohio,Logan,2015,3830,417563,345181,32829,96953,896356
Alabama,Autauga,2009,11148,38578,19149,97104,190802,356781
Indiana,Owen,2015,351,113359,81617,6051,65325,266703
